Name,Price,Rating,Reviews
Pretzel Deniz Tuzlu 35 gr x 24 Adet,198 TL,3.0,(1)
Mix Kraker - Balık - Nokta - Badem 150 gr x 14 Adet,319 TL,4.8,(30)
Pretzel Karışık Çeşnili 200 gr x 2 Adet,96 TL,4.6,(103)
Mix Kraker Kısa Çubuk - Fiyonk - Halka 150 gr x 14 Adet,319 TL,5.0,(25)
Mix Kraker - Balık - Nokta - Badem 150 gr x 3 Adet,,4.8,(53)
Pretzel Deniz Tuzlu 35 gr x 6 Adet,54 TL,3.0,(1)
Pretzel Tuzlu Mix Maxi Boy Kraker Kısa Çubuk - Fiyonk - Halka 300 gr,48 TL,,
Mix Kraker Kısa Çubuk - Fiyonk - Halka 150 gr x 3 Adet,79 TL,4.7,(47)
Fiyonk Kraker 150 gr x 3 Adet,79 TL,4.7,(21)
Pretzel Maxi Boy Kraker 300 gr,48 TL,,
Tuzlu Çubuk Kraker 150 gr x 3 Adet,79 TL,4.6,(36)
KARIŞIK PİRİNÇ KRAKER 500gram,,4.4,(57)
Poy Baharatlı Kraker 150 gr,"64,99 TL",,
Fiyonk Kraker 150 gr x 14 Adet,,4.9,(34)
Anatolia Serisi Kraker 450 gr,,5.0,(2)
Tereyağlı Kırıkkırak 185 gr X 2 Paket,192 TL,4.0,(22)
Acılı Fiyonk Kraker Acılı 50 gr x 6 Adet,88 TL,4.8,(41)
Delikates/ Light Gevrek Ekmek 270 Gr.,"145,90 TL",4.5,(37)
Tereyağlı Beypazarı Kurusu 1000 gr (KÜÇÜK KESİM),"313,90 TL",4.8,(29)
Domatesli & Zeytinli Kraker 150 gr,"65,99 TL",,
Mix Maxi Boy Kraker - Balık - Nokta - Badem 300 gr,48 TL,,
Dörtlü Nohut Unlu Zeytinyağlı Fit Gevrek Paketi,1.580 TL,5.0,(1)
Bıs-cottı Selanik Gevreği 200 gr,"79,99 TL",4.0,(52)
Çaylık Tarihi Beyoğlu Fırını Halka Galeta 200 G,,4.6,(13)
Akdeniz Sebzeli Bruschette Cips 70 Gr,,,
Pretzel Deniz Tuzlu 35 gr x 24 Adet,198 TL,3.0,(1)
Tereyağlı Beypazarı Kurusu 1000 gr (BÜYÜK KESİM),"313,90 TL",4.8,(9)
Mix Kraker - Balık - Nokta - Badem 150 gr x 14 Adet,319 TL,4.8,(30)
CHAR ME PARMESANLI GRİSSİNİ,,,
Pretzel Karışık Çeşnili 200 gr x 2 Adet,96 TL,4.6,(103)
Çekirdekli Çavdarlı Galeta 500 gr,"374,90 TL",5.0,(5)
Mix Kraker Kısa Çubuk - Fiyonk - Halka 150 gr x 14 Adet,319 TL,5.0,(25)
Acılı Fiyonk Kraker Acılı 50 gr x 24 Adet,336 TL,4.9,(8)
Mix Kraker - Balık - Nokta - Badem 150 gr x 3 Adet,,4.8,(53)
