Name,Price,Rating,Reviews
HANIMEFENDİ Krema Dolgulu Sütlü Çikolata,,4.8,(152)
Çikolata 16'lı 200 Gr,"279,90 TL",4.8,(599)
Karamel Truf Dolgulu Yenilebilir Puro şeklinde Çikolata (Teneke Kutuda 5 Adet),,,
Ahşap Çekiçli Kutu Kırma Çikolata 350gr (Fındıklı),,5.0,(1)
Labubu Çikolata - Chocobubu Çikolata Deneme Paketi 3 x 100 Gr.,,4.5,(11)
La Truffa Sütlü 200 Gr. (1 PAKET),"118,67 TL",4.5,(9602)
Çıtır Kadayıflı Boz Fıstıklı El Yapımı Dubai Artizan Çikolata,,,
Karam Sticks Bitter Çikolata 7 gr x 30 Adet,,4.8,(644)
HANIMEFENDİ Antep Fıstık Parçacıklı & Dolgulu Sütlü Çikolata 300 Gr,299 TL,4.7,(1447)
My World Mix 8 Gr. 100lü (1 KUTU),,4.5,(7553)
Beyoğlu Dubaco Çıtır Kadayıflı Ve Antep Fıstıklı Çikolata 95 Gr.,,3.7,(33)
"Lore Karışık Sütlü Ve Bitter Çikolata, 206g",,4.1,(19)
Nuss Tablet 12 Gr. 24 Adet (1 Kutu),"100,44 TL",4.5,(2323)
Angel Hair Pişmaniye Ve Antep Fıstık Dolgulu Frambuazlı Çikolata 170 Gr.,197 TL,4.3,(50)
Tiamo 450 Gr. (1 KASE),,4.5,(2972)
HANIMEFENDİ Krema Dolgulu Sütlü Çikolata 300 Gr,"247,22 TL",4.8,(709)
Sütlü Fondan 200 Gr. (1 Paket),"129,99 TL",4.6,(5524)
HANIMEFENDİ Fındık Parçacıklı & Dolgulu Sütlü Çikolata,129 TL,4.6,(164)
La Truffa Bitter 200 Gr. (1 PAKET),"118,57 TL",4.6,(6168)
Sütlü Çikolata Kaplı Portakal Draje,,4.7,(104)
Lavi Çikolata 1 Kg Bayram Hediyesi,779 TL,4.8,(29229)
Yaldız Kaplamalı Çeşitli Bebek Figürleriyle Süslenmiş Kız Bebek Çikolatası 23 adet,,,
Kalp Kokolin Çikolata Nostaljik 100 Lü,225 TL,4.3,(281)
Dubai Çikolata Kutusu,340 TL,4.8,(73)
Tambol %25 Bütün Antep Fıstıklı Sütlü Çikolata 77 gr,"114,77 TL",4.6,(19)
HANIMEFENDİ Krema Dolgulu Sütlü Çikolata,,4.8,(152)
Beyoğlu Dubaco Çıtır Kadayıflı Ve Antep Fıstıklı Çikolata 95 Gr.,,3.7,(33)
Çikolata 16'lı 200 Gr,"279,90 TL",4.8,(599)
SÜTLÜ YER FISTIKLI 160 GR BOLU ÇİKOLATASI (BORDO),,5.0,(1)
Karamel Truf Dolgulu Yenilebilir Puro şeklinde Çikolata (Teneke Kutuda 5 Adet),,,
Kahve Dünyası Mini Tambol Zipper Mix Paket 13 gr x 18 Adet,"290,50 TL",4.1,(242)
Ahşap Çekiçli Kutu Kırma Çikolata 350gr (Fındıklı),,5.0,(1)
Öğretmenler Günü Hediyesi 24’lü Baskılı Madlen Çikolata – Yeşil Tasarımlı Etiket,,4.6,(52)
Labubu Çikolata - Chocobubu Çikolata Deneme Paketi 3 x 100 Gr.,,4.5,(11)
Öğretmenler Günü Çikolatası 48’li,450 TL,1.0,(2)
Çıtır Kadayıflı Boz Fıstıklı El Yapımı Dubai Artizan Çikolata,,,
Mini Konfiseri /kokolin Sütlü 200gr,"67,86 TL",4.3,(104)
HANIMEFENDİ Antep Fıstık Parçacıklı & Dolgulu Sütlü Çikolata 300 Gr,299 TL,4.7,(1447)
"Lavi Fıstıklı, Sütlü Dolgulu Çikolata 300g",267 TL,4.8,(9945)
Altın ve Gümüş Sargılı Sütlü Madlen 50 Adet İkramlık Çikolata,"257,81 TL",,
"Lore Karışık Sütlü Ve Bitter Çikolata, 206g",,4.1,(19)
Öğretmenler Günü Çikolatası 32 Adet,,,
Angel Hair Pişmaniye Ve Antep Fıstık Dolgulu Frambuazlı Çikolata 170 Gr.,197 TL,4.3,(50)
Lavi 500gr Karışık Dolgulu Çikolata Kutusu,525 TL,4.8,(1355)
HANIMEFENDİ Krema Dolgulu Sütlü Çikolata 300 Gr,"247,22 TL",4.8,(709)
Mini Konfiseri / Kokolin Fildişi 200gr,"67,88 TL",4.1,(73)
HANIMEFENDİ Fındık Parçacıklı & Dolgulu Sütlü Çikolata,129 TL,4.6,(164)
Butik Yılbaşı Kutusu Kırmızı 100 Gr,,4.4,(9)
Hanımefendi Antep Fıstık Parçacıklı & Dolgulu Sütlü Çikolata 1000 gr,"699,21 TL",4.7,(962)
HANIMEFENDİ Krema Dolgulu Sütlü Çikolata,,4.8,(152)
Sticks Karamel Dolgulu Sütlü Çikolata,235 TL,4.7,(249)
Çikolata 16'lı 200 Gr,"279,90 TL",4.8,(599)
"Lavi Sütlü, Fındık Dolgulu Çikolata 300g",267 TL,4.8,(4326)
Karamel Truf Dolgulu Yenilebilir Puro şeklinde Çikolata (Teneke Kutuda 5 Adet),,,
Draje Mix 238 Gr,288 TL,4.8,(1206)
Ahşap Çekiçli Kutu Kırma Çikolata 350gr (Fındıklı),,5.0,(1)
Gümüş Sargılı Sütlü Madlen 100 Adet İkramlık Çikolata,,4.8,(23)
Labubu Çikolata - Chocobubu Çikolata Deneme Paketi 3 x 100 Gr.,,4.5,(11)
Nostalji Istanbul Spesiyal Çikolata Kutu 350g,,4.7,(30)
Çıtır Kadayıflı Boz Fıstıklı El Yapımı Dubai Artizan Çikolata,,,
Kahve Dünyası Draje Tanışma Paketi 60 gr x 10 Adet,,4.2,(39)
