Name,Price,Rating,Reviews
Std 2571 Earl Grey Bergamot Aromalı Ithal Seylan Sri Lanka Ceylon Kaçak Siyah Yaprak Çayı 200gr,,4.6,(1050)
Tiryaki 5 Kg 1 Adet,"1.174,65 TL",4.6,(468)
4 Adet Kinoalı Karışık Detox Diyet Form Bitki Çayı 4x60gr ( 4 AYLIK 120 KULLANIM ),,5.0,(133)
Std 2562 Super Pekoe Ithal Seylan Sri Lanka Ceylon Kaçak Siyah Yaprak Çayı 800gr,,4.6,(486)
Tiryaki Siyah Dökme Çay 3 x 1 Kg,,4.8,(6015)
Doğu Karadeniz Bergamot Aromalı Dökme Çay 1000 gr X 3 Adet,,4.8,(593)
220gr Küp Atom Kış Çayı,51 TL,4.5,(2)
Tiryaki Siyah Dökme Çay 10 X 1 Kg,2.490 TL,4.8,(6241)
Tiryaki Çayı 5000gr - 2 ADET,"2.330,65 TL",4.7,(194)
Yellow Label Çay 1000 gr X 9 Adet,,4.8,(110)
Ithal Saf Seylan Siyah Ceylon Dökme Çay Teneke Kutu 450 G,,4.8,(95)
Filiz Siyah Dökme Çay 10 X 1 Kg,"2.874,65 TL",4.6,(1300)
Siyah Dökme Çay 12 X 1 Kg,"2.455,90 TL",4.7,(276)
Dökme Çay Filiz 5kg,1.900 TL,4.7,(38)
Tiryaki Cayı 5000 Gr Edt,"1.174,65 TL",4.7,(5337)
Kilitli Ambalaj Kızıl Büyü Çayı (SİYAH ÇAY)- 1kg,379 TL,4.6,(361)
"Winter Fell Tea - Zencefilli Kış Çayı, 50 gr","238,99 TL",4.6,(464)
Destan Amber Eynesil Export Özel Siyah Çay 500 gr x4 Adet,705 TL,4.6,(142)
Ezber Bozan Çay 5000gr,2.010 TL,4.6,(374)
Yellow Label Loose Dökme Siyah Çay 1000 gr 3 Adet,,4.8,(1057)
Std 2562 Super Pekoe Ithal Seylan Sri Lanka Ceylon Kaçak Siyah Yaprak Çayı 400gr,,4.5,(542)
Hazine Dökme Siyah Çay 1000gr X 6 Adet,1.515 TL,4.6,(93)
"Premium Saf Matcha Çayı, Pure Matcha Tea, 25gr",,4.5,(8)
Karadeniz Tiryaki Dökme Çay 500 Gram,199 TL,4.5,(11)
Altınbaş Klasik Siyah Demlik Poşet Çay 2'li 200 X 5 G,,4.8,(2243)
3'lü Rize Turist Çayı 1kg.,"798,95 TL",5.0,(4)
4 Adet Kinoalı Karışık Detox Diyet Form Bitki Çayı 4x60gr ( 4 AYLIK 120 KULLANIM ),,5.0,(133)
Yellow Label Dökme Çay 1000 gr+earl Grey Dökme Çay 1000 gr,,4.6,(54)
Destan Eynesil Export Özel Siyah Çay 500 gr x5 Adet,890 TL,4.7,(592)
Doğu Karadeniz Bergamot Aromalı Dökme Çay 1000 gr X 3 Adet,,4.8,(593)
Mevlana Golden Tea Saf Yaprak Siyah Çay 1000gr - 1 Kg Sri Lanka’dan Gelen En Kaliteli Efsane Incisi,950 TL,4.5,(66)
